title,time,comment_count,comment,recommend,unrecommend
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,25,당장 급해서 미래를 끌어 쓰는 형국! 나도 주식을 좀 팔아야 하나.,0,0
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,25,수조원 풀린거로 이렇게 떨어지다니 ㅋㅋ 일장춘몽이군 ㅋ. 미국주식이 짱입니다,0,0
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,25,자본주의의 숨은 강자 검은손,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,183,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,183,지꺼팔아먹을라고 오른다뻥을 ㅋㅋㅋ 벌써다팔았지 ? 기요사키,1,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,183,지가 산 비트코인 개미들 모아서 치고 빠질라고 했는데 잘 안모이니까 이제는 다른 화폐폭락온다고?ㅋㅋ내가 보기에 니 머리속이 이미 폭락했어.ㅋㅋㅋㅋ,1,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,183,반대로 히야긋다~~~,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,183,"떡락장 올 것 -> 난 살 것이다, 3억간다 -> 제발 내 물량 받아라",1,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,183,최악의 폭락이 오길 바란다,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,183,기요사키가 예언자는 아니잖아. 왜이리 호들갑들인지 ㅉㅉ,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,183,비트코인이 4억이 안갔으니 저사람말은 더이상 신뢰할수가 없는거네!,1,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,183,기사보고 영혼까지 끌어모아 풀매수가즈아!!,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,183,이제 사야할때군,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,183,언제?????????????????????????? 그리고 손모가지라도 최소한 걸고 말해라,2,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,183,이제 사자,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,183,"4억 가도, 0 원 가도 이상 할게 없다",0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,183,오르겟네,1,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,183,근데 저런 넘 말듣고 기사쓰는 니들도 문제다 ~~ 누굴욕하냐? 똑같은 것들인데,1,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,183,올라가는데? 이 양반 말의 반대로 하면 수익율 오짐,4,0
"비트코인, 저가 매수세에 8200만원 회복",2024-07-10 09:30:27,4,망한다는 모지리들.....다시 나와봐!!!!ㅋㅋㅋㅋㅋㅋ,9,2
"비트코인, 저가 매수세에 8200만원 회복",2024-07-10 09:30:27,4,나락간다 꽉잡아 풀숏이다,0,0
"비트코인, 저가 매수세에 8200만원 회복",2024-07-10 09:30:27,4,언론들이. 비트코인에 목숨거는 이유가. 뭐지?,0,0
"비트코인, 저가 매수세에 8200만원 회복",2024-07-10 09:30:27,4,독일 마곡 미국 물량 아직 안털었습니다 어려운장입니다.오를수도 내릴수도 완전 그래프게임,0,0
