title,time,comment_count,comment,comment_date,recommend_count,unrecommend_count
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,27,비 트 코 인 다시 올라갈 것이다,2024.07.10. 06:47,3,4
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,27,지구 경제를 나락으로 끌고가는 미친 기관차.. 언젠가는 모두가 대가를 치를 것,2024.07.10. 15:11,1,2
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,27,한국도 저렇게 회수를 해야지 ㅉㅉ,2024.07.10. 07:09,0,1
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,27,아직도 코인하냐? 진짜돈으로 가짜돈을 사는 붕어들이 아직도 있엉?,2024.07.10. 17:31,2,4
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,꼴깝싸는 소리 하고 있네..지들이 뭘 안다고...전문가? 그 잘난 전문가들은 어떻게 손해 안 보고 사고팔고 잘 해서 다들 부자되셨나?,,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,기요사키 30년 안에 운명마감하거나 10년 더산다 본다 ㅋㅋ,,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,저런 사기꾼말에 걸린 호구들 싸다싸,,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,나도 말할수 있다.비트코인은 1원에서 ~100억 사이 박스권에서 움직일거다. 무릅에서 사서 어깨에서 팔면 된다ㅋ,,1,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,최고의승자는 7천원일때 사둔사람들이지,,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,폭등한다. 폭락한다. 아무말대잔치도 아니고 ㅋㅋㅋ 그딴 말은 개나소나 다 하겠다. 뭐 하나 제대로 맞추지도 못하면서 관종처럼 기어 나오냐,,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,그럼 이제 오르겠네 ㅋㅋ,,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,도박이지 이게 투자냐,,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,전에는 최악의 폭락장 올거니 비트코인 사놔야 한다지 않았나...,,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,신뢰가안간다~,,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,부동산.주식.코인.금 전부 다 폭락할정도의 악재가 터지면 금리를 내려서 방어할텐데 그러면 채권은 오르지 어떻게 채권까지 내려갈 수가 있지?? 금리랑 채권은 반대로 가는데?? 저거는 채권이 뭔지도 모르는 바보아닌가,,2,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,버핏도 애도 특권층으로 정보받고 돈버는거지. ㅎ,,1,1
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,이해가 안가는게..폭락장이 오면 빨리 팔라고 하는게 정상인데 내년에 오르니 인내하라고 한다....비트코인이 가치있는 투자수단이라면 폭락장 예측에 팔았다가 바닥에 다시 사면 될텐데 왜 내년말까지 인내하라고 할까? 코인이란게 개미들이 한번 다 팔고 나가버리면 추후 회복 불능 수준이 되는 그 정도 통화란걸 알기 때문이지..,,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,상승장 오면 다시 말바꾸는 사람,,1,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,올해 4억간다더니 이젠 폭락장이 오고 내년말부터 랠리래ㅋㅋ저런말은 나도 할 수 있는데,,1,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,"하는 사람은 제발 돈 벌고, 아직 안 하는 사람은 제발 자기일 열심히 해라.",2024.07.10. 12:58,1,1
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,ㅋㅋㅋㅋㅋㅋㅋ 저거 맞춘적 한번뿐,2024.07.10. 12:50,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,주접,2024.07.10. 12:49,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,아니면 말고 식이라 신뢰성이 없네요,2024.07.10. 12:49,1,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,맞추는게 하나도없네 ㅉㅈ,2024.07.10. 12:42,1,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,야는 뭐 왔다리갔다리 하노 약 먹었나,2024.07.10. 12:42,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,저정도면 정신병 말기네,2024.07.10. 12:40,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,"운 좋게 부빠가빠가 떴을 뿐, 무능력자임",2024.07.10. 12:38,1,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,나중에 오르긴 하겠지만 그건 개미는 알수없음 큰손들의 릴 낚시 같은거라,2024.07.10. 12:35,0,1
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,부자아빠는 사실 주식 비트코인... 이런거 잘 모르나 봅니다. 오를수도 있고 안오를 수도 있다고 아무말 대잔치~,2024.07.10. 12:30,3,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,딱 1년만 묻따존버한다,2024.07.10. 12:29,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,부자아빠 당신은 내년말에 죽을거야. 아님말고 이런식이네,2024.07.10. 16:01,1,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,예견한 것이 근처도 못 갔는데 이런기사를기삿거리로 쓰는가?,2024.07.10. 12:20,0,1
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,아니...이게 기사야? 폭등 오기전 조정 온다는 얘기 아님?,2024.07.10. 12:18,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,생각 나는대로 얘기하는 사람의 말을 기사화하여 보도하는 기자분이 더 문제인것 같습니다만~,2024.07.10. 12:18,2,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,흐름에 따라 말이 바뀌는 건 예언이 아니지ㅜㅜ,2024.07.10. 12:15,3,1
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,4억 간다 할때 팔고. 폭락장 온다고 하고 살려고 하네… ㅋㅋ,2024.07.10. 12:14,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,이건 맨달 왔다리 갔다리야,2024.07.10. 12:14,1,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,팔았네 왜구놈,2024.07.10. 12:10,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,기요사키는 전형적인 냄비여서 반대로 하면 돈 번다.,2024.07.10. 12:07,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,"읽어서 하등 도움 안 되는 책 분야가 자계서, 재테크(주식,부동산) 분야. 책 읽고 해결 됐으면 다 부자고 다 성공했지.",2024.07.10. 12:05,1,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,아무것도 안하는게 돈버는거다,2024.07.10. 12:05,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,이 말 나오자마자 상승중,2024.07.10. 12:05,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,얘는 머리에 든거 없는 깡통이여ㅎ,2024.07.10. 12:04,2,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,"말 바꾸는 전문가(비트코인, 주가, 부동산 등)들 민낯을 좀 밝혀주길",2024.07.10. 12:03,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,오를땐 4억 간다하고 내릴땐 폭락장 온다고 하고 나도 말하겠다,2024.07.10. 12:00,1,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,너도 기상청이랑 똑같구나 뭔가 예상하는것 같지만 실시간으로 변하는 ㅋㅋ,2024.07.10. 11:57,3,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,책임지지 않는 말은 듣지도 않는 게 상책이다,2024.07.10. 11:57,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,상식이 통하지 않는 투자시장은 버블이다,2024.07.10. 11:54,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,이랬다저랬다~~아무나 할수 있겠다~~ 천만달러 가겠다~ 이눔아,2024.07.11. 08:05,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,이미 오른다 할때 현금화 안하고 뭐했냐 하루이틀 장사 하냐. 기사 올라오고 올라온다. 그때 수익 보고 빠지는겨 이게 무슨 투자라고그냥 사기여 사기. 아무도 책임 안짐,2024.07.10. 11:51,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,6월에 10만달러 간다더니..,2024.07.10. 11:46,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,초보자나 하는 말을 하고 있네. 좀 떨어질거 같으니 나중에서야 폭락장 온다 하고 좀 오르면 4억까지 간다 하고.,2024.07.10. 11:46,1,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,이 인간 빠진다하면 오른다,2024.07.10. 11:44,3,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,나중에 또 오르면ㅋㅋㅋ 폭락장 온다더니 비트코인 4억간다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2024.07.10. 11:40,4,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,아무말 대잔치 아무나 할수있어,2024.07.10. 11:38,1,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,폭락한다음에 폭락한다는 말은 아무나 하겠다,2024.07.10. 11:36,1,1
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,포지션을 드디어 매도로 바꿨나 보군요,2024.07.10. 11:31,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,유시민같은 사람ㅋㅋ,2024.07.10. 11:30,1,2
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,얘는 하나만 걸려라 하고 막 던지는거임?,2024.07.10. 11:30,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,작년엔 올해라고 하고선 올해는 또 내년이누?ㅋㅋㅋ,2024.07.10. 11:29,1,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,인디언 기우제 지내는꼴이군....,2024.07.10. 11:20,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,폭락이지만 내년에 강세라는 얘기는 줍줍 하라는거냐? 쯧쯧,2024.07.10. 11:17,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,치매?,2024.07.11. 16:41,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,이래놓고 다음기사는 “최악 폭락장 온다더니 4억 코앞까지 온 비트코인”,2024.07.10. 11:14,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,225,아니면말고 이런시황은 나도하겠다,2024.07.10. 11:01,0,0
